Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-10-09,Breakfast,320,7.2,0.4,0,0,26,75,440,34,0,33,9,4,0,36,0,39.04,,
2018-10-09,Lunch,278.6,19.1,6,6.1,3,100,102.1,152.9,9.8,1.5,2.7,24.7,6.2,5.9,3.7,1.6,22.132,,
2018-10-09,Dinner,528.2,22.3,12,0,0,110,1327.2,368.6,66.1,10.1,14,25.2,38.6,32.6,41.9,17.9,70.112,21,345
2018-10-10,Breakfast,322.2,11.5,5,0.7,1.9,111.2,84.5,389,15.4,0,15.9,17.1,5.2,0,31.2,2.6,24.976,,
2018-10-10,Lunch,366,4.2,1.5,0.7,0.1,0,109,887,67,19.7,43.2,24.1,44,598,40,70,60.796,,
2018-10-10,Dinner,592.3,34.1,15.1,2.2,12.1,396.5,769.2,1667.4,34.1,4.3,7.4,61.9,386.5,30.4,47.6,56.7,64.464,61,173
2018-10-10,Snacks,170,13,2.5,0,0,0,120,170,8,1,1,5,0,0,2,8,9.8, ,
2018-10-11,Breakfast,320,7.2,0.4,0,0,26,75,440,34,0,33,9,4,0,36,0,39.04,,
2018-10-11,Lunch,387.6,13.9,1.6,1,3.5,20,440,1000,60.1,28,32.1,15.1,8,380,8,8,40.556,,
2018-10-11,Dinner,526.2,28.5,9.5,1,7,0,2049.2,197.7,38.4,2.3,6.9,26,7.1,3.9,4.8,8.6,50.66,48,345
2018-10-12,Breakfast,320,7.2,0.4,0,0,26,75,440,34,0,33,9,4,0,36,0,39.04,,
2018-10-12,Lunch,343.5,2.9,1.1,0.3,0,0,84.8,732.8,74.3,12.9,50.3,17.7,3,393,10.5,28.5,71.312,,
2018-10-12,Dinner,881.8,48.3,8,2.4,5,240,975.9,60,70.9,4.7,1.9,40.7,26,1,10,25,88.992,49,425
2018-10-13,Breakfast,320,7.2,0.4,0,0,26,75,440,34,0,33,9,4,0,36,0,39.04,,
2018-10-13,Lunch,554.9,16.7,7.3,2.6,2.1,36.4,1467.3,717.2,84.2,12.8,20.9,19,9.6,74.8,41.8,24.7,82.04,,
2018-10-13,Dinner,334,22.5,9.4,4,7.9,36,293,0,29.4,2,9.9,5.2,10,2,3,9,30.312,40,263
2018-10-14,Breakfast,368.8,7.3,3.9,0.6,0.1,26,170,426,43.5,10.9,29.9,12.1,6,72,42,6,39.376,,
2018-10-14,Lunch,195,16,1,0,0,0,57.5,115,3.5,3,0,8.3,1,0,2,10,5.148,,
2018-10-14,Dinner,526.2,28.5,9.5,1,7,0,2049.2,197.7,38.4,2.3,6.9,26,7.1,3.9,4.8,8.6,50.66,10,0
2018-10-14,Snacks,120,0,0,0,0,0,0,0,30,4,22,2,35,100,4,0,27.12, ,
2018-10-15,Breakfast,438.8,7.9,4.1,0.6,0.1,29,170,516,46.5,10.9,32.9,14.1,6,72,50,6,43.496,,
2018-10-15,Lunch,131,3.8,1.2,0,0,0,17.7,0,22.4,1.1,10.4,1.9,0,0,0,0,22.364,,
2018-10-15,Dinner,400.6,18.9,6.9,0.5,0.3,66.7,755.1,526,32.7,10,10.9,25.9,43.4,214.1,9.3,28,37.204,59,447
2018-10-15,Snacks,296.4,8.9,4.8,1.3,2.1,29.4,257.6,618.9,39.7,1.7,31.8,13.9,20,140,55.3,27.4,45.784, ,
2018-10-16,Breakfast,488,7.6,4.1,0.5,0.1,29,170,825,54,10.1,48.2,16.3,60,354,74,37,53.028,,
2018-10-16,Lunch,397.2,25,6.5,0.9,6.7,0,1754.2,197,14.5,0,6.9,24.9,7.1,3.8,4.7,8.5,28.444,,
2018-10-16,Dinner,400.6,18.9,6.9,0.5,0.3,66.7,755.1,526,32.7,10,10.9,25.9,43.4,214.1,9.3,28,37.204,0,444
2018-10-16,Snacks,50.4,1.2,0.2,0.8,0.2,0,0,123.6,9.2,2.6,6.5,1.5,4.6,10.4,3.1,2.6,7.44, ,
2018-10-17,Breakfast,712,15.6,8.1,1.5,1.1,49,340,540,82,11.1,52.2,25.3,54,336,96,46,85.068,,
2018-10-17,Lunch,296.4,8.9,4.8,1.3,2.1,29.4,257.6,618.9,39.7,1.7,31.8,13.9,20,140,55.3,27.4,45.784,,
2018-10-17,Dinner,400.6,18.9,6.9,0.5,0.3,66.7,755.1,526,32.7,10,10.9,25.9,43.4,214.1,9.3,28,37.204,18,345
2018-10-18,Breakfast,421.1,2.4,0.6,0.1,0.3,9,0,580.9,61.6,6.8,50.6,9.4,48.7,131.3,29.2,1.9,60.064,,
2018-10-18,Lunch,290,8,4,1,1,20,170,0,44,4,18,11,6,0,22,10,46.16,,
2018-10-18,Dinner,526.2,28.5,9.5,1,7,0,2049.2,197.7,38.4,2.3,6.9,26,7.1,3.9,4.8,8.6,50.66,50,0
2018-10-18,Snacks,296.4,8.9,4.8,1.3,2.1,29.4,257.6,618.9,39.7,1.7,31.8,13.9,20,140,55.3,27.4,45.784, ,
2018-10-19,Breakfast,500,9.8,4.6,1,1,29,170,270,53,4,27,17,6,0,46,10,58.52,,
2018-10-19,Lunch,180.7,0.4,0,0.1,0.2,0,0,207.2,45.1,5.8,35.1,2.9,44.1,120.9,4.8,1.2,40.924,,
2018-10-19,Dinner,764,38.5,12.7,0,0,105.7,788.6,0,52.3,0,6.3,31.5,0,0,0,0,69.94,30,306
2018-10-20,Breakfast,500,9.8,4.6,1,1,29,170,270,53,4,27,17,6,0,46,10,58.52,,
2018-10-20,Lunch,195,16,1,0,0,0,57.5,115,3.5,3,0,8.3,1,0,2,10,5.148,,
2018-10-20,Dinner,420,19,4,0,0,30,375,0,57,1,26,4,10,0,6,10,58.24,74,299
2018-10-21,Breakfast,390,7.8,0.6,0,0,29,75,530,37,0,36,11,4,0,44,0,43.16,,
2018-10-21,Lunch,600,24,4.5,0,0,15,1860,0,72,6,6,30,90,12,24,12,82.8,,
2018-10-21,Snacks,296.4,8.9,4.8,1.3,2.1,29.4,257.6,618.9,39.7,1.7,31.8,13.9,20,140,55.3,27.4,45.784,17,0
2018-10-22,Breakfast,658.8,16.9,8.1,1.6,1.1,54,90,516,79.5,14.9,36.9,18.1,8,72,47,16,74.736,,
2018-10-22,Lunch,284,4,1.5,0.6,0.1,0,107,707,45,17.4,27.2,23.2,43,467,38,68,40.592,,
2018-10-22,Dinner,275.4,5.8,1.4,0.2,0,126,128,375.1,25.2,8.2,13.2,32.2,45.6,443.9,9,21.4,35.032,39,433
2018-10-23,Breakfast,674,8.2,0.6,0.2,0,29,79,890,111,8.6,90,14.8,41,362,52,4,110.688,,
2018-10-23,Lunch,296.4,8.9,4.8,1.3,2.1,29.4,257.6,618.9,39.7,1.7,31.8,13.9,20,140,55.3,27.4,45.784,,
2018-10-23,Dinner,598.4,19.7,11.4,1.4,10.2,170,659.4,1439,75.4,6.4,22.2,38.6,10.3,51.6,6.9,27,90.616,17,223
